Alfred,Hitchcock,1899-08-13,British
Steven,Spielberg,1946-12-18,American
Christopher,Nolan,1970-07-30,British
Quentin,Tarantino,1963-03-27,American
Martin,Scorsese,1942-11-17,American
Stanley,Kubrick,1928-07-26,American
Hayao,Miyazaki,1941-01-05,Japanese
Akira,Kurosawa,1910-03-23,Japanese
David,Fincher,1962-08-28,American
Ridley,Scott,1937-11-30,British
James,Cameron,1954-08-16,Canadian
Denis,Villeneuve,1967-10-03,Canadian
Guillermo,del Toro,1964-10-09,Mexican
Joel,Coen,1954-11-29,American
Ethan,Coen,1957-09-21,American
Peter,Jackson,1961-10-31,New Zealander
Greta,Gerwig,1983-08-04,American
Bong,Joon-ho,1969-09-14,South Korean
Chloé,Zhao,1982-03-31,Chinese
Spike,Lee,1957-03-20,American
Kathryn,Bigelow,1951-11-27,American
Francis,Ford Coppola,1939-04-07,American
David,Lynch,1946-01-20,American
Pedro,Almodóvar,1949-09-25,Spanish
Sofia,Coppola,1971-05-14,American
Darren,Aronofsky,1969-02-12,American
Wes,Anderson,1969-05-09,American
Lee,Chang-dong,1954-04-04,South Korean
Celine,Sciamma,1978-11-12,French
Yorgos,Lanthimos,1973-05-27,Greek